,states
0,Hawaii
1,Arizona
2,Nevada
3,South Carolina
4,Texas
5,Florida
6,North Carolina
7,Nebraska
8,Tennessee
9,Illinois
10,Vermont
11,Wyoming
12,New Hampshire
13,Virginia
14,South Dakota
15,Oklahoma
16,Oregon
17,Colorado
18,Idaho
19,Montana
20,West Virginia
21,Indiana
22,Minnesota
23,Maine
24,Alaska
25,Georgia
26,Rhode Island
27,Maryland
28,Mississippi
29,New Jersey
30,Kentucky
31,Michigan
32,Iowa
33,New Mexico
34,Utah
35,Massachusetts
36,Louisiana
37,Kansas
38,North Dakota
39,Missouri
40,Pennsylvania
41,Washington
42,Arkansas
43,Alabama
44,Delaware
45,Wisconsin
46,Connecticut
